# Created by: riboviz
# Date: 2023-04-05 11:45:49
# File: /exports/csce/eddie/biology/groups/wallace_rna/riboviz-david/riboviz/riboviz/rscripts/generate_stats_figs.R
# Version: commit bb25145b6ec95e37fe5129429ddf94067d6b99f6 date 2023-03-09 14:39:35 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
augustus_masked-SAKL0A-processed-gene-1.28	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.50	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.29	2	0	1	0.17288929307558	0.386414996342224	0.191934191495911
augustus_masked-SAKL0A-processed-gene-1.51	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-2.97	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-2.99	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.8	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.10	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.11	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.26	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.12	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-2.103	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.13	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.14	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.27	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.28	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.29	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-2.123	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.31	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.15	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.32	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.33	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.34	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.35	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.16	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.17	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.36	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.37	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.18	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-2.131	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-2.132	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.19	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.39	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.20	0	0	0	1	1	1
maker-SAKL0A-snap-gene-2.4	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.41	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-2.137	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.43	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-2.139	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.21	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.45	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.46	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.22	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.47	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.23	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.48	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.49	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-2.116	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-2.117	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-2.25	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.1	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.2	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.3	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.4	2	1	0	0.386414996342224	0.17288929307558	0.191934191495911
augustus_masked-SAKL0A-processed-gene-3.5	0	0	0	1	1	1
maker-SAKL0A-augustus-gene-3.0	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.27	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-3.113	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.8	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.29	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.9	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.10	1	0	0	0.5	0.5	0.5
augustus_masked-SAKL0A-processed-gene-3.11	3	0	0	0.0744573365893828	0.0744573365893828	0.0206134166685819
augustus_masked-SAKL0A-processed-gene-3.12	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.13	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.14	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.30	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-3.97	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.31	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.15	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.32	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.16	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.33	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.34	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.35	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.36	0	0	0	1	1	1
genemark-SAKL0A-processed-gene-3.78	0	0	0	1	1	1
genemark-SAKL0A-processed-gene-3.59	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-3.101	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-3.102	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-3.103	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.38	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.19	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.39	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.20	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.21	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.22	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.40	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.23	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.24	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.41	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.25	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.42	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-3.26	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.4	0	0	0	1	1	1
maker-SAKL0A-augustus-gene-4.53	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.0	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.6	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.58	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.7	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.2	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.60	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.84	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.8	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.29	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.30	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.31	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.32	0	0	0	1	1	1
maker-SAKL0A-snap-gene-4.54	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.33	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.11	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.90	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.91	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.35	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.12	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.13	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.36	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.14	1	0	0	0.5	0.5	0.5
augustus_masked-SAKL0A-processed-gene-4.15	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.16	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.17	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.18	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.94	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.19	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.38	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.39	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.77	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.97	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.98	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.42	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.43	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.44	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.102	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.103	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.45	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.21	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.22	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.46	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.80	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.24	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.25	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.106	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.48	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.108	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.26	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.50	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-4.110	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-4.27	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.7	0	0	0	1	1	1
genemark-SAKL0A-processed-gene-5.50	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-5.100	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.6	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.30	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.9	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.10	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.31	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-5.103	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.32	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.12	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.13	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.14	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.33	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.15	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.16	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.34	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.17	0	0	0	1	1	1
maker-SAKL0A-augustus-gene-5.1	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.18	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.36	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.37	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.19	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.38	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.39	1	0	0	0.5	0.5	0.5
augustus_masked-SAKL0A-processed-gene-5.20	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-5.115	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.40	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.22	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.41	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.23	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-5.118	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.42	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.25	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.43	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.26	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.44	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.27	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.45	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.28	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-5.140	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.47	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-5.29	0	0	0	1	1	1
maker-SAKL0A-augustus-gene-5.2	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-5.144	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.109	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-6.54	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.105	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.111	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.106	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.107	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.108	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.132	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.112	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.113	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.133	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.114	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.134	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.115	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.135	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.136	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.116	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.117	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.118	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.119	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.137	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.120	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.121	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.122	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.138	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.139	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.123	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-6.82	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.124	0	0	0	1	1	1
maker-SAKL0A-augustus-gene-6.99	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.141	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.142	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.126	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.143	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.144	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.127	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.145	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.146	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-6.89	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.147	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.148	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.149	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.150	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.151	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.152	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.153	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.154	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.128	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-6.98	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.129	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.130	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-6.131	1	0	0	0.5	0.5	0.5
augustus_masked-SAKL0A-processed-gene-7.0	0	1	0	0.977249868051821	1	1
augustus_masked-SAKL0A-processed-gene-7.1	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.2	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.5	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.3	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.6	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-7.61	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-7.64	0	0	0	1	1	1
maker-SAKL0A-snap-gene-7.54	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.8	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.27	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.9	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.28	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.10	0	0	0	1	1	1
maker-SAKL0A-augustus-gene-7.49	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-7.89	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-7.90	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.30	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-7.71	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-7.72	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.31	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.14	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.15	0	0	0	1	1	1
genemark-SAKL0A-processed-gene-7.142	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.16	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.33	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-7.95	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.35	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.36	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.17	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-7.77	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.37	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.19	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.38	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-7.100	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-7.79	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.40	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.20	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.41	0	0	0	1	1	1
maker-SAKL0A-augustus-gene-7.50	2	0	0	0.17288929307558	0.17288929307558	0.0912112197258678
snap_masked-SAKL0A-processed-gene-7.103	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.22	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.43	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.23	0	0	0	1	1	1
maker-SAKL0A-augustus-gene-7.51	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.45	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.24	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.25	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-7.107	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-7.47	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-8.0	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-8.4	0	0	0	1	1	1
